essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,fd,Faster alternative to find
tmux,tmux,Terminal multiplexer
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,git-delta,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,polybar,status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim (AUR)
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,nodejs-neovim,Nodejs for neovim (AUR)
js,nodejs,Nodejs (for coc.vim)
js,yarn,Dependency manager (for coc.vim)
alacritty,alacritty,GPU accelerated Terminal
firefox,firefox-developer-edition,Browser Firefox
